timestamp,ocupados,registrado_ratio,hora,dia_semana
2025-12-10 16:40:00,3,0.9500180478322583,16,2
2025-12-10 16:45:00,4,0.8679128197255073,16,2
2025-12-10 16:50:00,7,0.9193279536998284,16,2
2025-12-10 16:55:00,10,0.951111677417158,16,2
2025-12-10 17:00:00,12,0.9387003736900819,17,2
2025-12-10 17:05:00,13,0.88164469596684,17,2
2025-12-10 17:10:00,14,0.9126055054581896,17,2
2025-12-10 17:15:00,15,0.913818820717248,17,2
2025-12-10 17:20:00,14,0.941292367422134,17,2
2025-12-10 17:25:00,15,0.9372328401203154,17,2
2025-12-10 17:30:00,16,0.8995102908371385,17,2
2025-12-10 17:35:00,16,0.9651588917088357,17,2
2025-12-10 17:40:00,15,0.8870207513723505,17,2
2025-12-10 17:45:00,16,0.9417261707322079,17,2
2025-12-10 17:50:00,16,0.9246674323656292,17,2
2025-12-10 17:55:00,17,0.9289438219509873,17,2
2025-12-10 18:00:00,16,0.9315647759475995,18,2
2025-12-10 18:05:00,14,0.907213151345708,18,2
2025-12-10 18:10:00,13,0.9089943099509327,18,2
2025-12-10 18:15:00,12,0.9587311341836593,18,2
2025-12-10 18:20:00,11,0.9265101226042003,18,2
2025-12-10 18:25:00,12,0.9517338894079971,18,2
2025-12-10 18:30:00,11,0.9543190352502862,18,2
2025-12-10 18:35:00,9,0.8746685114398608,18,2
2025-12-10 18:40:00,10,0.9256970294428226,18,2
2025-12-10 18:45:00,10,0.9263415876430686,18,2
2025-12-10 18:50:00,10,0.9382710095022965,18,2
2025-12-10 18:55:00,10,0.9047304842400669,18,2
2025-12-10 19:00:00,10,0.9012239063918911,19,2
2025-12-10 19:05:00,11,0.9378612470411978,19,2
2025-12-10 19:10:00,11,0.9030680675182339,19,2
2025-12-10 19:15:00,9,0.8621155011030766,19,2
2025-12-10 19:20:00,8,0.9359909690689375,19,2
2025-12-10 19:25:00,8,0.9719691319114426,19,2
2025-12-10 19:30:00,9,0.882655292799605,19,2
2025-12-10 19:35:00,8,0.9064386769639775,19,2
2025-12-10 19:40:00,7,0.9373769457418344,19,2
2025-12-10 19:45:00,7,0.8621576858244618,19,2
2025-12-10 19:50:00,7,0.9293070484541882,19,2
2025-12-10 19:55:00,10,0.9104257749010791,19,2
2025-12-10 20:00:00,10,0.9287998673588707,20,2
2025-12-10 20:05:00,12,0.9342748423659805,20,2
2025-12-10 20:10:00,11,0.8944099386900102,20,2
2025-12-10 20:15:00,10,0.8649325540977477,20,2
2025-12-10 20:20:00,10,0.8611677482198937,20,2
2025-12-10 20:25:00,10,0.9535250627157753,20,2
2025-12-10 20:30:00,14,0.9365763773310399,20,2
2025-12-10 20:35:00,10,0.9307084584937535,20,2
2025-12-10 20:40:00,9,0.8955161280376077,20,2
2025-12-10 20:45:00,10,0.9262819426978138,20,2
2025-12-10 20:50:00,9,0.8530126822118258,20,2
2025-12-10 20:55:00,9,0.98,20,2
2025-12-10 21:00:00,10,0.900028176058434,21,2
2025-12-10 21:05:00,8,0.8909909574185699,21,2
2025-12-10 21:10:00,8,0.9535395681494538,21,2
